Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,501",canth? Decided-Baldwin,canth? Decided-Baldwin is creating The Horror in The Colors of EverythingEverything (GiftHorseProductions),https://graphtreon.com/creator/GiftHorseProductions,10,"$121 per Painting, drawing, sculpture, beadwork, embroidery","$12.06 per Painting, drawing, sculpture, beadwork, embroidery",2057,Feb 2014
"1,502",Chloe Lee,Chloe Lee is creating Artwork (chloeleeart),https://graphtreon.com/creator/chloeleeart,10,,,490,May 2018
"1,503",Katie Runde,Katie Runde is creating contemporary realist oil paintings and portraits (katierunde),https://graphtreon.com/creator/katierunde,10,$69 per month,$6.91 per month,695,Nov 2017
"1,504",Sternengaukler,Sternengaukler is creating Artwork for animal shelters! (sternengaukler),https://graphtreon.com/creator/sternengaukler,10,$89 per month,$8.93 per month,1100,Sep 2016
"1,505",Trevor Grabill,Trevor Grabill is creating prints (flatmtnpress),https://graphtreon.com/creator/flatmtnpress,10,$105 per month,$10.53 per month,801,Jul 2017
"1,506",Ashes.Graphics,Ashes.Graphics is creating fine art and a fantastical world called Caelis'al (AshesGraphics),https://graphtreon.com/creator/AshesGraphics,10,,,1023,Dec 2016
"1,507",Kmye Chan,Kmye Chan is creating fantasy illustrations (kmyechan),https://graphtreon.com/creator/kmyechan,10,,,192,Mar 2019
"1,508",Bristlebearhog,"Bristlebearhog is creating Cute, Comfy Illustrations (Bristlebearhog)",https://graphtreon.com/creator/Bristlebearhog,10,,,347,Oct 2018
"1,509",Ashley Newton,"Ashley Newton is creating techno-art w/ microcontrollers, rainbows, robots, pens, & more (ashleynewton)",https://graphtreon.com/creator/ashleynewton,10,,,1307,Mar 2016
"1,510",mayshing,"mayshing is creating comics, animation, illustrations, games, tutorials (mayshing)",https://graphtreon.com/creator/mayshing,10,,,2001,Apr 2014
"1,511",eighthsun,eighthsun is creating art & storyboards (eighthsun),https://graphtreon.com/creator/eighthsun,10,,,501,May 2018
"1,512",Sirinne,Sirinne is creating Fantasy Art (sirinne),https://graphtreon.com/creator/sirinne,10,$28 per work,$2.79 per work,1742,Dec 2014
"1,513",Courtney Coffman,Courtney Coffman is creating Illustrations  (ZestyDoodles),https://graphtreon.com/creator/ZestyDoodles,10,$62 per month,$6.16 per month,722,Oct 2017
"1,514",MsDinoGoat,MsDinoGoat is creating Colourful illustrations and character concepts (MsDinoGoat),https://graphtreon.com/creator/MsDinoGoat,10,$97 per month,$9.65 per month,791,Aug 2017
"1,515",Pyrar,Pyrar is creating Illustrations and Designs (Pyrar),https://graphtreon.com/creator/Pyrar,10,$57 per month,$5.74 per month,495,May 2018
"1,516",Kristin Link,"Kristin Link is creating art, sketchbooks, and research about natural history in Alaska (nizinanaturals)",https://graphtreon.com/creator/nizinanaturals,10,$334 per month,$33.35 per month,557,Mar 2018
"1,517",Green Man,Green Man is creating illustrations (GreenManArt),https://graphtreon.com/creator/GreenManArt,10,$28 per month,$2.75 per month,739,Sep 2017
"1,518",Finnegan J Carey,Finnegan J Carey is creating Art and Illustrations (amaranthsynthesis),https://graphtreon.com/creator/amaranthsynthesis,10,$13 per month,$1.28 per month,608,Feb 2018
"1,519",Ry,Ry is creating Makeup Art and Body Painting (VanigliaRy),https://graphtreon.com/creator/VanigliaRy,10,,,540,Apr 2018
"1,520",Xib,Xib is creating Art (xibxib),https://graphtreon.com/creator/xibxib,10,$122 per month,$12.20 per month,1359,Jan 2016
"1,521",Dianita,"Dianita is creating Fantasy Drawings, Paintings and Coloring Pages. (artbydianita)",https://graphtreon.com/creator/artbydianita,10,,,767,Aug 2017
"1,522",Andreas Kainz,Andreas Kainz is creating Icons and UX designs for LibreOffice and KDE,https://graphtreon.com/creator/user?u=10071325,10,$29 per month,$2.87 per month,501,May 2018
"1,523",Kuna,Kuna is creating Freelance Illustration  (wryote),https://graphtreon.com/creator/wryote,10,$68 per month,$6.78 per month,538,Apr 2018
"1,524",CATAPHANT,CATAPHANT is creating Visual Art (cataphant),https://graphtreon.com/creator/cataphant,10,$25 per month,$2.46 per month,258,Jan 2019
"1,525",Forever9Nine,Forever9Nine is creating doodles (forever9nine),https://graphtreon.com/creator/forever9nine,10,$34 per creation,$3.42 per creation,473,Jun 2018
"1,526",Jean Adaser,"Jean Adaser is creating RPGs, Illustrations, Podcasts, & A cookbook! (Jean_Adaser)",https://graphtreon.com/creator/Jean_Adaser,10,,,1393,Dec 2015
"1,527",Rebecca Sinz,Rebecca Sinz is creating Traditional Fantasy Art (elvenstarart),https://graphtreon.com/creator/elvenstarart,10,$18 per month,$1.83 per month,192,Mar 2019
"1,528",Nando Delgado,Nando Delgado is creating MTG alters painting (nandoalters),https://graphtreon.com/creator/nandoalters,10,,,735,Sep 2017
"1,529",Adele Maskwa-iskwew,Adele Maskwa-iskwew is creating Hand carved wood sculptures and custom beadwork. (AdeleArseneau),https://graphtreon.com/creator/AdeleArseneau,10,$55 per month,$5.51 per month,36,Aug 2019
"1,530",Juan Acosta,"Juan Acosta is creating Fantasy & Folk Art, Creatures and Beast (juanacosta)",https://graphtreon.com/creator/juanacosta,10,,,752,Sep 2017
"1,531",Shana Levenson,Shana Levenson is creating Figurative Paintings and Drawings (ShanaLevenson),https://graphtreon.com/creator/ShanaLevenson,10,$51 per month,$5.06 per month,677,Nov 2017
"1,532",Julia,Julia is creating Artwork and Speedpaints (AlmondLoaf),https://graphtreon.com/creator/AlmondLoaf,10,$61 per month,$6.10 per month,465,Jun 2018
"1,533",Yona Yurwit Art,Yona Yurwit Art is creating Paper Goods: Stickers and More (yonayurwitart),https://graphtreon.com/creator/yonayurwitart,10,$63 per month,$6.27 per month,598,Feb 2018
"1,534",Brick Bending,Brick Bending is creating Geometric Art in LEGO Brick (brickbending),https://graphtreon.com/creator/brickbending,10,,,1980,May 2014
"1,535",Skyla Newman,Skyla Newman is creating Digital Artwork (VenneccaBlind),https://graphtreon.com/creator/VenneccaBlind,10,$119 per month,$11.93 per month,1630,Apr 2015
"1,536",Finding America,Finding America is creating  Original Paintings (findingamerica),https://graphtreon.com/creator/findingamerica,10,,,629,Jan 2018
"1,537",Unicorn Empire,Unicorn Empire is creating Illustration and Typography (unicornempire),https://graphtreon.com/creator/unicornempire,10,$36 per month,$3.61 per month,1181,Jul 2016
"1,538",SulaMoon,"SulaMoon is creating Sketches, studies and illustrations (SulaMoon)",https://graphtreon.com/creator/SulaMoon,10,,,197,Mar 2019
"1,539",GlitchButt,GlitchButt is creating Painting memes (glitchbun),https://graphtreon.com/creator/glitchbun,10,,,732,Sep 2017
"1,540",ArtistLeonardo: Fine Art-Tips,"ArtistLeonardo: Fine Art-Tips is creating drawing, painting & sculpture fine art tutorials. (ArtistLeonardo)",https://graphtreon.com/creator/ArtistLeonardo,10,,,1116,Sep 2016
"1,541",Liloo TheTimeTraveler,Liloo TheTimeTraveler is creating Drawings on the Secret Life of Cats (liloo),https://graphtreon.com/creator/liloo,10,,,871,May 2017
"1,542",Juan Arrabal Hernández,Juan Arrabal Hernández is creating Mighty dragons and other lesser creatures (dragolisco),https://graphtreon.com/creator/dragolisco,10,$26 per month,$2.63 per month,243,Feb 2019
"1,543",MANGA TENGU,MANGA TENGU is creating manga (mangatengu),https://graphtreon.com/creator/mangatengu,10,,,882,May 2017
"1,544",PenPaperFlava,PenPaperFlava is creating Illustrations and Comics (penpaperflava),https://graphtreon.com/creator/penpaperflava,10,$97 per month,$9.65 per month,1666,Mar 2015
"1,545",Ramyeon Doodles,Ramyeon Doodles is creating Anime Art (ramyeondoodles),https://graphtreon.com/creator/ramyeondoodles,10,,,286,Dec 2018
"1,546",Megan Macdonald,Megan Macdonald is creating Visual Art (meganmacdonald),https://graphtreon.com/creator/meganmacdonald,10,,,698,Nov 2017
"1,547",Shizuho Kanagata,"Shizuho Kanagata is creating Original Art, Illustlations, Drawing, Painting, Making (shizuho_k)",https://graphtreon.com/creator/shizuho_k,10,$50 per creation,$5.04 per creation,1559,Jun 2015
"1,548",Summer Emerald,Summer Emerald is creating acrylic paintings (rabioheab),https://graphtreon.com/creator/rabioheab,10,$27 per month,$2.65 per month,209,Mar 2019
"1,549",Jenny Hahn,Jenny Hahn is creating art & inspiration (jennyhahn),https://graphtreon.com/creator/jennyhahn,10,$133 per month,$13.33 per month,1284,Mar 2016
"1,550",DenaJarawr,DenaJarawr is creating Paintings & Illustrations! (DenaJarawr),https://graphtreon.com/creator/DenaJarawr,10,,,866,May 2017
"1,551",Meg Rae,"Meg Rae is creating stickers, digital painting and designing a game! (megrae)",https://graphtreon.com/creator/megrae,10,$70 per month,$6.97 per month,1613,May 2015
"1,552",Kelvyn Fernandes,Kelvyn Fernandes is creating the Fantasy Fiction Books: The Many Adventures of Peter and Fi (peterandfi),https://graphtreon.com/creator/peterandfi,10,$28 per month,$2.81 per month,287,Dec 2018
"1,553",Raine Eisenlohr,"Raine Eisenlohr is creating magickal artwork, home decor, and youtube and instagram content (rainealexandra)",https://graphtreon.com/creator/rainealexandra,10,,,211,Mar 2019
"1,554",Goatshrine,Goatshrine is creating Illustrations (Goatshrine),https://graphtreon.com/creator/Goatshrine,10,$30 per month,$2.97 per month,1720,Jan 2015
