Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,301",Andrew Dat Tran,Andrew Dat Tran is creating Seven Deadly Sins Paintings & Prints (CirclesofSin),https://graphtreon.com/creator/CirclesofSin,12,,,1204,Jun 2016
"1,302",Jehan Khodl,Jehan Khodl is creating Illustrations (jehank),https://graphtreon.com/creator/jehank,12,$270 per creation,$22.50 per creation,1133,Aug 2016
"1,303",Tegan Robichaud,"Tegan Robichaud is creating Art, Illustrations, and Comics (teganrobichaud)",https://graphtreon.com/creator/teganrobichaud,12,$343 per month,$28.62 per month,1573,Jun 2015
"1,304",Zutcha,Zutcha is creating Drawings (zutcha),https://graphtreon.com/creator/zutcha,12,,,893,Apr 2017
"1,305",Butternut_Gouache,"Butternut_Gouache is creating Character design, Illustration, and Comics (Butternut_gouache)",https://graphtreon.com/creator/Butternut_gouache,12,$58 per month,$4.86 per month,654,Dec 2017
"1,306",Linnea Kataja,Linnea Kataja is creating Punk and Cute Manga and Illustrations!✨ (KeikoKup),https://graphtreon.com/creator/KeikoKup,12,$183 per month,$15.25 per month,271,Jan 2019
"1,307",Steve Ferrera,Steve Ferrera is creating a children's book (steveferrera),https://graphtreon.com/creator/steveferrera,12,$103 per creation,$8.55 per creation,1318,Feb 2016
"1,308",Muse Everylead,Muse Everylead is creating artwork (MuseworthyArt),https://graphtreon.com/creator/MuseworthyArt,12,$133 per month,$11.05 per month,212,Mar 2019
"1,309",Leila,"Leila is creating Digital art, tutorials, outlines and giveaways (Leilacreates)",https://graphtreon.com/creator/Leilacreates,12,,,89,Jul 2019
"1,310",Sonny Liew,"Sonny Liew is creating Comics, Illustrations & Paintings (sonnyliew)",https://graphtreon.com/creator/sonnyliew,12,$116 per month,$9.67 per month,1249,May 2016
"1,311",DC Langer,DC Langer is creating Art (dclanger),https://graphtreon.com/creator/dclanger,12,$31 per month,$2.60 per month,251,Jan 2019
"1,312",Elliot O'Donnell,Elliot O'Donnell is creating Visual art (elliotodonnell),https://graphtreon.com/creator/elliotodonnell,12,$93 per month,$7.74 per month,152,May 2019
"1,313",Ruby,Ruby is creating Art (PureRubyDragon),https://graphtreon.com/creator/PureRubyDragon,12,$43 per month,$3.59 per month,1525,Jul 2015
"1,314",Carlo Vergara,Carlo Vergara is creating Stories and Artwork (carverhouse),https://graphtreon.com/creator/carverhouse,12,,,158,Apr 2019
"1,315",Alexander Fjelnseth,Alexander Fjelnseth is creating oil paintings (alexanderfjelnseth),https://graphtreon.com/creator/alexanderfjelnseth,12,$89 per month,$7.42 per month,388,Sep 2018
"1,316",Juwei,Juwei is creating digital illustrations (juwei),https://graphtreon.com/creator/juwei,12,,,779,Aug 2017
"1,317",Keaton,Keaton is creating art! (dailyDungeoneer),https://graphtreon.com/creator/dailyDungeoneer,12,$36 per month,$3.01 per month,197,Mar 2019
"1,318",Shane Grammer,Shane Grammer is creating art for a larger than life purpose. (shanegrammer),https://graphtreon.com/creator/shanegrammer,12,$169 per month,$14.08 per month,203,Mar 2019
