Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
1,WLOP,"WLOP is creating Comic, Illustrations, 3d animation (wlop)",https://graphtreon.com/creator/wlop,https://www.patreon.com/wlop,https://www.instagram.com/wlop,0,https://twitter.com/wlopwangling,https://www.youtube.com/channel/UCPa7bvOg_r54NaQb7GJA9Eg,"4,862",,,1719,15-Jan
2,Markus Magnusson,Markus Magnusson is creating animations & illustrations (motionmarkus),https://graphtreon.com/creator/motionmarkus,https://www.patreon.com/motionmarkus,0,0,https://twitter.com/motionmarkus,0,"2,090",,,542,18-Apr
3,Sorastro,Sorastro is creating miniature painting tutorials (Sorastros),https://graphtreon.com/creator/Sorastros,https://www.patreon.com/Sorastros,https://www.instagram.com/sorastro,0,https://twitter.com/Sorastros,https://www.youtube.com/user/Sorastro,"1,979",,,1572,15-Jun
4,Kirsty Partridge,Kirsty Partridge is creating Real-Time Drawing & Painting Tutorials (kirstypartridge),https://graphtreon.com/creator/kirstypartridge,https://www.patreon.com/kirstypartridge,https://www.instagram.com/kirstysart,https://www.facebook.com/Kirsty-Partridge-ART-769692556418716/,https://twitter.com/kirstysart,https://www.youtube.com/channel/UCSl51TSNCxLQJqLTQp0B6Cg,"1,965","$11,798 per month",$6.00 per month,828,17-Jun
5,Fran Meneses,Fran Meneses is creating illustrations (frannerd),https://graphtreon.com/creator/frannerd,https://www.patreon.com/frannerd,0,0,https://twitter.com/frannerd,https://www.youtube.com/frannerd,"1,789","$5,020 per month",$2.81 per month,1357,16-Jan
6,Sugarbones,Sugarbones is creating an Enamel Pin Club (sugarbonespinclub),https://graphtreon.com/creator/sugarbonespinclub,https://www.patreon.com/sugarbonespinclub,0,0,https://twitter.com/_sugarbones,0,"1,777",,,880,17-May
7,Lisa Clough - Lachri Fine Art,Lisa Clough - Lachri Fine Art is creating Painting and Drawing videos (Lachri),https://graphtreon.com/creator/Lachri,https://www.patreon.com/Lachri,https://www.instagram.com/lisa_lachri,https://www.facebook.com/Lachri.Fine.Art/,https://twitter.com/Lachri,https://www.youtube.com/Lachri,"1,587","$7,333 per month",$4.62 per month,1825,14-Oct
8,Fursona Pins,Fursona Pins is creating monthly adorable animal pins (FursonaPins),https://graphtreon.com/creator/FursonaPins,https://www.patreon.com/FursonaPins,https://www.instagram.com/fursonapins,0,https://twitter.com/FursonaPins,0,"1,298",,,539,18-Apr
9,Jason Morgan - Painting & Drawing Animals & Nature,"Jason Morgan - Painting & Drawing Animals & Nature is creating Art Videos, tutorials, reference photos & more. (wildlifeart)",https://graphtreon.com/creator/wildlifeart,https://www.patreon.com/wildlifeart,0,0,https://twitter.com/art_wildlife,https://www.youtube.com/user/wildlifeartjm,"1,180",,,1189,16-Jun
10,Karen Hallion,Karen Hallion is creating Art (KarenHallion),https://graphtreon.com/creator/KarenHallion,https://www.patreon.com/KarenHallion,https://www.instagram.com/karenhallionart,0,https://twitter.com/khallion,https://www.youtube.com/user/khallion/featured,979,,,1404,15-Nov
